,occ1,occ2,count
0,15-1111,15-1122,1
1,15-1111,15-1199,1
2,15-1122,15-1199,2
3,15-1122,41-1011,1
4,15-1122,41-3031,1
5,15-1122,43-3051,1
6,15-1122,43-4051,1
7,15-1122,43-9011,1
8,15-1122,49-9051,1
9,15-1134,15-1199,2
10,15-1134,25-4021,1
11,15-1134,27-2012,3
12,15-1134,27-3041,1
13,15-1134,41-1011,1
14,15-1134,43-3061,1
15,15-1134,43-4051,1
16,15-1134,43-5081,2
17,15-1134,43-9021,1
18,15-1134,49-2011,1
19,15-1134,51-1011,1
20,15-1134,51-9061,2
21,15-1199,21-1093,1
22,15-1199,25-4021,2
23,15-1199,27-3041,1
24,15-1199,27-3042,1
25,15-1199,33-3021,1
26,15-1199,33-3051,1
27,15-1199,35-3031,1
28,15-1199,35-9011,1
29,15-1199,39-5012,1
30,15-1199,39-9021,2
31,15-1199,41-1011,2
32,15-1199,41-1012,1
33,15-1199,41-2031,2
34,15-1199,41-3011,1
35,15-1199,41-3021,1
36,15-1199,41-9031,1
37,15-1199,43-3031,2
38,15-1199,43-3051,1
39,15-1199,43-4041,1
40,15-1199,43-4051,6
41,15-1199,43-4141,1
42,15-1199,43-4171,2
43,15-1199,43-5061,2
44,15-1199,43-5081,1
45,15-1199,43-9011,4
46,15-1199,43-9021,2
47,15-1199,43-9041,1
48,15-1199,43-9111,2
49,15-1199,47-2061,2
50,15-1199,47-2111,1
51,15-1199,49-2011,22
52,15-1199,49-2096,1
53,15-1199,49-2098,1
54,15-1199,49-3031,1
55,15-1199,49-9052,1
56,15-1199,49-9071,1
57,15-1199,51-9051,1
58,15-1199,51-9061,1
59,15-1199,53-7081,1
60,17-2031,49-9071,1
61,19-4011,19-4021,2
62,19-4011,29-2061,1
63,19-4011,43-5061,1
64,19-4011,45-2041,2
65,19-4011,47-2061,1
66,19-4011,49-9071,1
67,19-4011,51-9199,1
68,19-4011,53-7061,1
69,19-4021,41-1011,1
70,19-4021,45-2041,1
71,19-4031,19-4041,1
72,19-4031,39-9011,3
73,19-4031,41-2031,1
74,19-4031,41-9091,1
75,19-4031,43-4051,1
76,19-4031,51-1011,1
77,19-4031,51-6011,1
78,19-4031,51-8031,4
79,19-4031,51-9061,1
80,19-4031,51-9199,2
81,19-4031,53-7062,1
82,19-4041,21-1093,1
83,19-4041,43-5081,1
84,19-4041,47-1011,1
85,19-4041,47-5021,1
86,19-4041,49-2098,1
87,19-4041,51-1011,1
88,19-4041,51-9061,1
89,21-1092,27-3043,1
90,21-1092,29-1141,1
91,21-1092,33-1011,3
92,21-1092,33-3021,1
93,21-1092,33-3051,3
94,21-1092,33-9021,1
95,21-1092,43-4031,1
96,21-1092,49-9043,1
97,21-1092,51-1011,1
98,21-1092,51-9061,1
99,21-1093,27-3031,1
100,21-1093,29-1141,2
101,21-1093,29-2061,1
102,21-1093,33-1011,1
103,21-1093,33-3051,1
104,21-1093,35-3021,1
105,21-1093,35-3041,1
106,21-1093,35-9021,1
107,21-1093,37-2012,1
108,21-1093,39-9011,2
109,21-1093,39-9021,3
110,21-1093,43-3051,1
111,21-1093,43-4051,5
112,21-1093,43-4111,1
113,21-1093,43-4171,6
114,21-1093,43-9022,1
115,21-1093,43-9041,3
116,21-1093,51-6031,1
117,21-2011,21-2021,6
118,21-2011,29-1141,1
119,21-2011,31-9096,1
120,21-2011,33-9021,1
121,21-2011,39-9011,2
122,21-2011,41-1011,1
123,21-2011,41-3011,1
124,21-2011,41-3041,1
125,21-2011,43-4121,1
126,21-2011,43-5051,1
127,21-2011,43-5071,1
128,21-2011,43-5081,1
129,21-2011,45-3011,1
130,21-2011,47-2061,1
131,21-2011,49-9051,1
132,21-2011,51-1011,1
133,21-2011,51-9151,1
134,21-2011,53-7051,1
135,21-2021,39-4031,1
136,21-2021,41-1012,1
137,21-2021,41-2031,1
138,21-2021,43-3031,1
139,21-2021,43-4051,1
140,21-2021,53-7061,1
141,23-1012,23-2011,1
142,23-2011,27-3031,1
143,23-2011,27-3041,1
144,23-2011,27-3043,1
145,23-2011,29-1141,3
146,23-2011,31-9092,1
147,23-2011,35-3031,1
148,23-2011,35-9031,1
149,23-2011,37-2012,1
150,23-2011,39-5012,1
151,23-2011,39-9011,2
152,23-2011,41-1012,2
153,23-2011,41-2031,3
154,23-2011,43-3071,1
155,23-2011,43-4031,2
156,23-2011,43-4051,4
157,23-2011,43-4171,1
158,23-2011,43-5081,1
159,23-2011,43-9021,1
160,23-2011,43-9022,1
161,23-2011,49-3031,1
162,23-2011,51-9199,1
163,25-4021,25-4031,13
164,25-4021,27-3031,1
165,25-4021,27-3043,1
166,25-4021,27-4021,1
167,25-4021,29-1141,1
168,25-4021,33-9093,1
169,25-4021,41-1012,2
170,25-4021,43-4121,18
171,25-4021,43-4171,1
172,25-4021,43-9021,1
173,25-4021,45-3011,1
174,25-4021,51-9061,1
175,25-4021,51-9199,1
176,25-4031,41-3099,1
177,25-4031,43-4031,1
178,25-4031,43-4121,6
179,27-2012,27-3031,1
180,27-2012,27-3041,1
181,27-2012,27-3043,3
182,27-2012,27-4021,1
183,27-2012,33-2011,1
184,27-2012,41-1011,4
185,27-2012,41-1012,1
186,27-2012,41-2031,1
187,27-2012,41-3011,1
188,27-2012,43-4111,1
189,27-2012,43-4171,1
190,27-2012,43-5061,1
191,27-2012,47-1011,1
192,27-2012,47-2111,1
193,27-2012,49-9021,1
194,27-2012,51-9061,1
195,27-2012,53-7051,1
196,27-2012,53-7062,1
197,27-3031,27-3043,1
198,27-3031,29-2081,1
199,27-3031,39-5012,1
200,27-3031,41-3021,1
201,27-3031,43-3031,1
202,27-3031,43-4051,1
203,27-3031,43-4171,2
204,27-3031,43-5021,1
205,27-3031,49-3023,1
206,27-3031,51-3011,1
207,27-3031,53-7062,1
208,27-3041,27-3042,1
209,27-3041,27-3043,4
210,27-3041,41-1011,1
211,27-3041,41-1012,1
212,27-3041,41-2031,2
213,27-3041,43-4171,1
214,27-3041,43-9011,1
215,27-3041,43-9081,2
216,27-3041,47-2111,1
217,27-3041,51-5111,1
218,27-3041,51-9151,1
219,27-3042,27-3043,6
220,27-3042,35-3011,1
221,27-3042,41-3021,1
222,27-3042,41-3031,1
223,27-3042,41-3099,1
224,27-3043,27-4021,2
225,27-3043,29-2041,1
226,27-3043,35-3031,1
227,27-3043,35-9031,1
228,27-3043,39-2021,1
229,27-3043,41-2031,1
230,27-3043,43-4171,1
231,27-3043,43-5071,2
232,27-3043,47-4011,1
233,27-3043,49-3011,1
234,27-3043,51-9199,1
235,27-4021,39-5012,1
236,27-4021,41-1011,1
237,27-4021,41-2031,1
238,27-4021,41-3099,1
239,27-4021,43-9011,1
240,27-4021,49-9044,1
241,27-4021,51-9151,1
242,27-4021,53-7062,1
243,29-1031,29-1122,1
244,29-1031,29-1141,2
245,29-1031,33-3021,1
246,29-1031,35-1012,4
247,29-1031,35-2021,2
248,29-1031,35-3041,2
249,29-1031,35-9011,1
250,29-1031,35-9021,1
251,29-1031,39-9011,1
252,29-1031,43-4111,1
253,29-1031,51-3092,1
254,29-1041,29-2081,1
255,29-1041,31-9092,1
256,29-1041,43-5061,1
257,29-1041,47-2141,1
258,29-1051,33-3021,1
259,29-1051,35-3031,1
260,29-1051,37-2012,1
261,29-1051,39-9021,1
262,29-1051,41-1011,1
263,29-1051,41-2031,1
264,29-1051,43-3031,1
265,29-1051,43-4171,1
266,29-1051,43-5081,1
267,29-1051,49-2011,1
268,29-1051,51-9199,1
269,29-1071,29-1141,2
270,29-1071,29-1171,1
271,29-1071,31-9091,1
272,29-1071,31-9092,18
273,29-1122,39-9021,1
274,29-1125,29-1141,2
275,29-1126,29-1141,4
276,29-1126,41-1011,1
277,29-1126,43-3011,1
278,29-1126,53-6021,1
279,29-1126,53-7062,1
280,29-1131,29-1141,1
281,29-1131,31-9096,1
282,29-1131,39-2021,3
283,29-1131,43-4171,1
284,29-1141,29-1151,4
285,29-1141,29-1171,30
286,29-1141,29-2021,1
287,29-1141,29-2041,1
288,29-1141,29-2061,86
289,29-1141,29-2071,6
290,29-1141,31-9011,1
291,29-1141,31-9091,2
292,29-1141,31-9092,16
293,29-1141,31-9097,2
294,29-1141,33-3051,2
295,29-1141,35-1012,1
296,29-1141,35-3011,1
297,29-1141,35-3031,7
298,29-1141,37-2012,2
299,29-1141,39-5012,2
300,29-1141,39-9011,4
301,29-1141,39-9021,21
302,29-1141,39-9041,2
303,29-1141,41-1011,5
304,29-1141,41-1012,5
